country,year,variable,cutpoint,y_r,n,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode
United Kingdom,1976,import4,1,1027,1234,351,1976,2014,import4_gt1,1,1,1,1,1
United Kingdom,1976,import4,2,701,1234,351,1976,2014,import4_gt2,1,1,1,2,1
United Kingdom,1976,import4,3,251,1234,351,1976,2014,import4_gt3,1,1,1,3,1
United Kingdom,1977,import4,1,1009,1256,351,1976,2014,import4_gt1,1,2,1,1,2
United Kingdom,1977,import4,2,687,1256,351,1976,2014,import4_gt2,1,2,1,2,2
United Kingdom,1977,import4,3,246,1256,351,1976,2014,import4_gt3,1,2,1,3,2
United Kingdom,1978,import4,1,879,1218,351,1976,2014,import4_gt1,1,3,1,1,3
United Kingdom,1978,import4,2,627,1218,351,1976,2014,import4_gt2,1,3,1,2,3
United Kingdom,1978,import4,3,235,1218,351,1976,2014,import4_gt3,1,3,1,3,3
United Kingdom,1979,effort4,1,1080,1207,351,1976,2014,effort4_gt1,1,4,2,4,4
United Kingdom,1979,effort4,2,854,1207,351,1976,2014,effort4_gt2,1,4,2,5,4
United Kingdom,1979,effort4,3,333,1207,351,1976,2014,effort4_gt3,1,4,2,6,4
United Kingdom,1981,effort4,1,1209,1284,351,1976,2014,effort4_gt1,1,6,2,4,6
United Kingdom,1981,effort4,2,906,1284,351,1976,2014,effort4_gt2,1,6,2,5,6
United Kingdom,1981,effort4,3,284,1284,351,1976,2014,effort4_gt3,1,6,2,6,6
United Kingdom,1981,free.eq2,1,269,1077,351,1976,2014,free.eq2_gt1,1,6,3,7,6
United Kingdom,1983,import4,1,1114,1212,351,1976,2014,import4_gt1,1,8,1,1,8
United Kingdom,1983,import4,2,844,1212,351,1976,2014,import4_gt2,1,8,1,2,8
United Kingdom,1983,import4,3,408,1212,351,1976,2014,import4_gt3,1,8,1,3,8
United Kingdom,1983,effort4,1,1174,1229,351,1976,2014,effort4_gt1,1,8,2,4,8
United Kingdom,1983,effort4,2,949,1229,351,1976,2014,effort4_gt2,1,8,2,5,8
United Kingdom,1983,effort4,3,290,1229,351,1976,2014,effort4_gt3,1,8,2,6,8
United Kingdom,1985,gov.res4,1,2532,2838,351,1976,2014,gov.res4_gt1,1,10,4,8,10
United Kingdom,1985,gov.res4,2,2118,2838,351,1976,2014,gov.res4_gt2,1,10,4,9,10
United Kingdom,1985,gov.res4,3,1374,2838,351,1976,2014,gov.res4_gt3,1,10,4,10,10
