country,year,item,r,n,survey,cc_rank
United Kingdom,1975,import4,1,168,eb05,623
United Kingdom,1975,import4,2,258,eb05,623
United Kingdom,1975,import4,3,344,eb05,623
United Kingdom,1975,import4,4,179,eb05,623
United Kingdom,1976,import4,1,197,eb06,623
United Kingdom,1976,import4,2,253,eb06,623
United Kingdom,1976,import4,3,333,eb06,623
United Kingdom,1976,import4,4,195,eb06,623
United Kingdom,1978,import4,1,334.7484624629072,eb10,623
United Kingdom,1978,import4,2,249.19076053835158,eb10,623
United Kingdom,1978,import4,3,387.6190894955375,eb10,623
United Kingdom,1978,import4,4,232.35795481081942,eb10,623
United Kingdom,1979,effort4,1,125.55618462196092,eb11,623
United Kingdom,1979,effort4,2,222.43302650576123,eb11,623
United Kingdom,1979,effort4,3,513.7360332972295,eb11,623
United Kingdom,1979,effort4,4,328.17079635280015,eb11,623
United Kingdom,1981,effort4,1,60.64280181193905,eb16,623
United Kingdom,1981,effort4,2,244.6268954447711,eb16,623
United Kingdom,1981,effort4,3,497.4765436776017,eb16,623
United Kingdom,1981,effort4,4,225.0978575731297,eb16,623
United Kingdom,1981,free_eq2,1,810.4304661269351,evs_combo,623
United Kingdom,1981,free_eq2,2,269.81507355899214,evs_combo,623
United Kingdom,1983,effort4,1,54.82293125982325,eb19,623
United Kingdom,1983,effort4,2,226.48632231821955,eb19,623
United Kingdom,1983,effort4,3,661.5549691396233,eb19,623
United Kingdom,1983,effort4,4,291.6216763351755,eb19,623
United Kingdom,1983,import4,1,98.6779462125618,eb20,623
United Kingdom,1983,import4,2,273.47730922142057,eb20,623
United Kingdom,1983,import4,3,441.42867258071277,eb20,623
United Kingdom,1983,import4,4,412.3429107537858,eb20,623
United Kingdom,1983,incgap3,1,55.306119246846315,bsa_combo,623
United Kingdom,1983,incgap3,2,382.6902760250587,bsa_combo,623
United Kingdom,1983,incgap3,3,1275.1440038666235,bsa_combo,623
United Kingdom,1983,taxshare5,1,160.84797792431945,bsa_combo,623
United Kingdom,1983,taxshare5,2,345.5650021961076,bsa_combo,623
United Kingdom,1983,taxshare5,3,640.18114983955,bsa_combo,623
United Kingdom,1983,taxshare5,4,476.76392645181056,bsa_combo,623
United Kingdom,1983,taxshare5,5,90.68850771351978,bsa_combo,623
United Kingdom,1984,incgap3,1,60.84527583345065,bsa_combo,623
United Kingdom,1984,incgap3,2,314.65517494219563,bsa_combo,623
United Kingdom,1984,incgap3,3,1268.9079393198454,bsa_combo,623
United Kingdom,1985,gov_res4,1,311.463484496415,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res4,2,412.5643472186355,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res4,3,754.1007083086463,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res4,4,1373.7774135096906,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res5,1,185.25904084194002,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res5,2,532.28040988855,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res5,3,738.5498928770305,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res5,4,901.2418521711359,"bsa_combo, issp1985",623
United Kingdom,1985,gov_res5,5,679.081704224579,"bsa_combo, issp1985",623
United Kingdom,1985,incgap3,1,70.41878480063181,bsa_combo,623
United Kingdom,1985,incgap3,2,299.86337016253793,bsa_combo,623
United Kingdom,1985,incgap3,3,1401.9241172438497,bsa_combo,623
United Kingdom,1985,taxshare5,1,1,issp1985,623
United Kingdom,1985,taxshare5,2,12,issp1985,623
United Kingdom,1985,taxshare5,3,337,issp1985,623
United Kingdom,1985,taxshare5,4,780,issp1985,623
United Kingdom,1985,taxshare5,5,351,issp1985,623
United Kingdom,1986,gov_res4,1,111.12461047795354,bsa_combo,623
United Kingdom,1986,gov_res4,2,197.35707187149777,bsa_combo,623
United Kingdom,1986,gov_res4,3,360.13462525045827,bsa_combo,623
United Kingdom,1986,gov_res4,4,615.4333265573139,bsa_combo,623
United Kingdom,1986,gov_res5,1,55.80166860739975,bsa_combo,623
United Kingdom,1986,gov_res5,2,228.67720702071375,bsa_combo,623
United Kingdom,1986,gov_res5,3,265.1361408276912,bsa_combo,623
United Kingdom,1986,gov_res5,4,469.3934631514905,bsa_combo,623
United Kingdom,1986,gov_res5,5,327.27091179910855,bsa_combo,623
United Kingdom,1986,incgap3,1,108.20106414693852,bsa_combo,623
United Kingdom,1986,incgap3,2,512.404603738578,bsa_combo,623
United Kingdom,1986,incgap3,3,2446.3701477053874,bsa_combo,623
United Kingdom,1986,redist5,1,69.47846168156882,bsa_combo,623
United Kingdom,1986,redist5,2,333.9281574004163,bsa_combo,623
United Kingdom,1986,redist5,3,342.42748029769155,bsa_combo,623
United Kingdom,1986,redist5,4,433.5697885434176,bsa_combo,623
United Kingdom,1986,redist5,5,150.97607254027844,bsa_combo,623
United Kingdom,1986,taxshare5,1,164.179165149319,bsa_combo,623
United Kingdom,1986,taxshare5,2,565.4035616901297,bsa_combo,623
United Kingdom,1986,taxshare5,3,1115.6615306178758,bsa_combo,623
United Kingdom,1986,taxshare5,4,1005.8563677542462,bsa_combo,623
United Kingdom,1986,taxshare5,5,169.5934855587771,bsa_combo,623
United Kingdom,1987,basic5,1,88.29542095503454,"bsa_combo, issp1987",623
United Kingdom,1987,basic5,2,518.9046461400442,"bsa_combo, issp1987",623
United Kingdom,1987,basic5,3,310.03722453967055,"bsa_combo, issp1987",623
United Kingdom,1987,basic5,4,940.1178588524031,"bsa_combo, issp1987",623
United Kingdom,1987,basic5,5,470.14995918257495,"bsa_combo, issp1987",623
United Kingdom,1987,gov_res5,1,72.90440541692972,"bsa_combo, issp1987",623
United Kingdom,1987,gov_res5,2,455.6064620658776,"bsa_combo, issp1987",623
United Kingdom,1987,gov_res5,3,293.0716676093451,"bsa_combo, issp1987",623
United Kingdom,1987,gov_res5,4,1003.7931228072532,"bsa_combo, issp1987",623
United Kingdom,1987,gov_res5,5,490.5527754119563,"bsa_combo, issp1987",623
United Kingdom,1987,grow5,1,153.4898421427165,"bsa_combo, issp1987",623
United Kingdom,1987,grow5,2,711.9164498159289,"bsa_combo, issp1987",623
United Kingdom,1987,grow5,3,573.1774171946486,"bsa_combo, issp1987",623
United Kingdom,1987,grow5,4,706.8792059073332,"bsa_combo, issp1987",623
United Kingdom,1987,grow5,5,152.17127115007364,"bsa_combo, issp1987",623
United Kingdom,1987,import4,1,134.45579004714946,eb28,623
United Kingdom,1987,import4,2,245.25659927499623,eb28,623
United Kingdom,1987,import4,3,463.7764771974319,eb28,623
United Kingdom,1987,import4,4,374.74863933518986,eb28,623
United Kingdom,1987,incent4,1,158.7586469897003,issp1987,623
United Kingdom,1987,incent4,2,562.3253688109673,issp1987,623
United Kingdom,1987,incent4,3,256.91886607405735,issp1987,623
United Kingdom,1987,incent4,4,145.8077904653318,issp1987,623
United Kingdom,1987,incgap3,1,60.79347446166852,bsa_combo,623
United Kingdom,1987,incgap3,2,471.86351668122074,bsa_combo,623
United Kingdom,1987,incgap3,3,2231.6777724112417,bsa_combo,623
United Kingdom,1987,incgap5,1,32.40213797495751,"bsa_combo, issp1987",623
United Kingdom,1987,incgap5,2,227.65782643877617,"bsa_combo, issp1987",623
United Kingdom,1987,incgap5,3,293.98014255281794,"bsa_combo, issp1987",623
United Kingdom,1987,incgap5,4,1166.096849517352,"bsa_combo, issp1987",623
United Kingdom,1987,incgap5,5,608.549818655098,"bsa_combo, issp1987",623
United Kingdom,1987,redist5,1,178.10706665541414,bsa_combo,623
United Kingdom,1987,redist5,2,651.446153105122,bsa_combo,623
United Kingdom,1987,redist5,3,500.811764464658,bsa_combo,623
United Kingdom,1987,redist5,4,744.8008415223272,bsa_combo,623
United Kingdom,1987,redist5,5,370.37396135474404,bsa_combo,623
United Kingdom,1987,taxshare5,1,135.41384161329447,"bsa_combo, issp1987",623
United Kingdom,1987,taxshare5,2,466.072563037379,"bsa_combo, issp1987",623
United Kingdom,1987,taxshare5,3,1303.196058325088,"bsa_combo, issp1987",623
United Kingdom,1987,taxshare5,4,1562.7028198008416,"bsa_combo, issp1987",623
United Kingdom,1987,taxshare5,5,411.7921155316128,"bsa_combo, issp1987",623
United Kingdom,1988,free_eq2,1,749.5821271124516,eb30,623
United Kingdom,1988,free_eq2,2,469.16307955962003,eb30,623
United Kingdom,1989,incgap3,1,76.67095393230073,bsa_combo,623
United Kingdom,1989,incgap3,2,461.88103331939533,bsa_combo,623
